Date,Pitcher,O/U K,Mean Release MPH,Mean Release X,Mean Release Y,Mean Release Z,K/9,K/BB,WHIP,ERA,GB/FB,Opp. Team,Opp. Win %,Opp BA,Opp OBP,Opp OPS+,Opp K,Opp BB,Over/Under?
2022-10-05,Tyler Alexander,3.5,86.10442478,1.93716182,54.2222756,5.740246523,5.3,2.33,1.311,4.72,0.37,SEA,0.553,0.2299194907,0.3140319131,105.332127,1391,592,1
2022-10-05,Marco Gonzales,4.5,83.63644689,2.217249084,54.10317949,5.522468864,5,2.04,1.33,4.14,0.43,DET,0.41,0.23058207,0.2859591977,84.15600891,1403,378,1
2022-10-05,Adrian Sampson,4.5,89.36470227,-2.788901166,54.1106814,5.741675875,6.2,2.69,1.21,3.1,0.42,CIN,0.385,0.2352610893,0.3025606469,82.46698113,1419,448,0
2022-10-05,Merrill Kelly,5.5,89.99612988,-1.698754098,54.34064262,5.545462295,7.9,2.88,1.142,3.43,0.44,MIL,0.534,0.234726091,0.3150977493,105.0875637,1453,574,1
2022-10-05,Corbin Burnes,7.5,91.57115028,-0.5995485467,54.11493816,5.966883117,10.8,4.67,0.98,2.98,0.48,ARI,0.453,0.2297271872,0.3024536805,94.92822567,1330,531,0
2022-10-05,Aaron Civale,4.5,84.75826367,-0.77,54.70702894,6.240469453,8.8,4.24,1.198,5.04,0.41,KC,0.404,0.2444485566,0.3058902276,93.35441767,1275,459,1
2022-10-05,Graham Ashcraft,4.5,93.98326309,-1.302384106,54.85847682,6.195213727,6.1,2.68,1.405,4.52,0.55,CHC,0.453,0.2376973073,0.309148265,94.86684377,1437,499,0
2022-10-05,Louie Varland,4.5,89.46456456,-1.938498498,53.77663664,5.291861862,6.9,2.67,1.333,4.71,0.35,CHA,0.503,0.2559182209,0.309778143,96.74593262,1263,387,1
2022-10-05,Davis Martin,5.5,88.43195147,-1.869646107,54.04577351,6.220637007,6.9,2.76,1.184,3.65,0.4,MIN,0.478,0.2473809961,0.3162576182,105.2409817,1342,512,0
2022-10-05,Josh Fleming,2.5,87.28945518,2.861792619,54.09574692,5.541950791,7.4,2.08,1.912,6.23,0.62,BOS,0.478,0.2573088796,0.319908317,101.1401441,1366,475,1
