Date,Pitcher,O/U K,Mean Release MPH,Mean Release X,Mean Release Y,Mean Release Z,K/9,K/BB,WHIP,ERA,GB/FB,Opp. Team,Opp. Win %,Opp BA,Opp OBP,Opp OPS+,Opp K,Opp BB,Over/Under?,Actual
2023-04-12,Zack Wheeler,6.5,91.73179348,-1.928722826,53.35480978,5.515652174,11.2,3,1.655,5.59,0.39,MIA,0.417,0.2448979592,0.3076923077,88.37762238,112,35,0,
2023-04-12,Edward Cabrera,5.5,92.00333333,-1.954972222,54.04902778,6.217,8.1,0.46,2.25,5.4,0.5,PHI,0.364,0.2879581152,0.3373493976,115.1277108,107,28,0,
2023-04-12,Alex Cobb,5.5,91.09306358,-2.079942197,54.58,5.774971098,10.1,12,1.125,2.53,0.58,LAD,0.5,0.2383419689,0.3512931034,116.6594828,112,65,0,
2023-04-12,Nathan Eovaldi,5.5,89.81354582,-2.503346614,53.79912351,5.486613546,10.1,4,1.313,4.22,0.5,KC,0.25,0.1896103896,0.2576832151,59.76122931,113,32,1,
2023-04-12,Logan Gilbert,5.5,89.83855422,-1.108012048,52.94777108,6.182168675,11.7,4.33,1.3,3.6,0.58,CHC,0.6,0.2902298851,0.3523316062,107.5880829,78,32,1,
2023-04-12,Lucas Giolito,5.5,85.55344828,-1.435114943,53.63649425,6.278735632,9,9,2,9,0.37,MIN,0.636,0.2305630027,0.3009708738,82.5631068,102,33,1,
2023-04-12,Tylor Megill,5.5,88.83986486,-1.448873874,53.30725225,6.01295045,8.2,2.5,1.182,1.64,0.58,SD,0.583,0.2319587629,0.3162583519,101.5857461,101,49,0,
2023-04-12,Chris Sale,5.5,87.69444444,3.132444444,54.13466667,5.3815,14.6,2.6,2,11.25,0.43,TB,1,0.282967033,0.3645083933,167.8657074,74,41,1,
2023-04-12,MacKenzie Gore,4.5,90.61567568,1.538135135,53.46132432,6.022027027,9.5,2,1.235,2.38,0.48,LAA,0.545,0.2378378378,0.331002331,,,,1,
2023-04-12,Sonny Gray,4.5,85.8244898,-1.325442177,54.06360544,5.528809524,10.5,2.8,1,0.75,0.34,CHA,0.417,0.2689655172,0.3184713376,,,,1,
2023-04-12,Brad Keller,4.5,89.3537594,-1.93406015,54.40398496,6.120112782,7.8,1.29,1.452,2.61,0.63,TEX,0.636,0.2520325203,0.3203883495,,,,1,
2023-04-12,Dean Kremer,4.5,89.44689655,-2.602758621,54.28772414,5.815931034,7.9,1.75,1.875,10.13,0.38,OAK,0.182,0.2099447514,0.2793017456,75.62842893,104,34,0,
2023-04-12,Clarke Schmidt,3.5,89.46138107,-1.481764706,54.387289,5.644680307,10.8,2,2.1,9.45,0.35,CLE,0.583,0.2380952381,0.327198364,92.24130879,94,58,0,
2023-04-12,Marcus Stroman,4.5,88.43854749,-0.9690502793,54.75569832,5.271955307,10.5,2.33,0.917,0,0.68,SEA,0.333,0.2322274882,0.2976445396,92.86937901,108,34,1,
2023-04-12,Ken Waldichuk,4.5,87.27935223,2.866032389,53.6511336,5.387651822,7.3,1.75,2.423,14.54,0.34,BAL,0.545,0.2465753425,0.336492891,117.6018957,108,47,0,
2023-04-12,Jack Flaherty,3.5,87.0455665,-2.552044335,53.8553202,5.448128079,6.3,0.54,1.7,1.8,0.54,COL,0.417,0.2746987952,0.3215077605,90.36363636,104,27,1,
2023-04-12,Rich Hill,3.5,78.46120219,1.608743169,54.36655738,5.705327869,8,4,1.444,10,0.33,HOU,0.417,0.2494004796,0.3305263158,99.30526316,111,45,0,
2023-04-12,Eduardo Rodriguez,3.5,89.54868421,1.747710526,54.18955263,5.892789474,5.4,1.5,1.3,6.3,0.3,TOR,0.636,0.2885572139,0.3505617978,,,,0,
2023-04-13,Nick Lodolo,7.5,87.21494253,3.636283525,54.24931034,5.712835249,15.8,5.25,1.167,1.5,0.5,PHI,0.333,0.2816229117,0.3289183223,109.9006623,119,29,0,
2023-04-13,Jeffrey Springs,6.5,85.64289941,2.188964497,53.96115385,5.944822485,13.2,4.75,0.539,0,0.48,BOS,0.417,0.243902439,0.3203463203,98.63419913,93,42,0,
2023-04-13,Chris Bassitt,5.5,84.75531915,-1.344255319,54.2387234,5.753808511,4.8,1,1.821,10.61,0.37,DET,0.182,0.1983914209,0.2586206897,57.48275862,110,30,1,
2023-04-13,Nick Martinez,5.5,86.53465347,-1.904950495,54.49549505,6.216930693,6.9,1.29,1.457,6.17,0.56,MIL,0.667,0.2641025641,0.3504464286,107.9754464,114,52,0,
2023-04-13,Jordan Montgomery,5.5,88.68005391,1.859191375,53.96110512,6.594851752,9,4,1,2.25,0.42,PIT,0.583,0.2282051282,0.3078651685,91.6988764,98,45,0,
2023-04-13,Joe Ryan,5.5,87.73645161,-2.588516129,54.13096774,4.957387097,12,5.33,0.75,3.75,0.3,NYY,0.667,0.2493638677,0.3227272727,,,,1,
2023-04-13,Jhony Brito,4.5,90.61559889,-1.382479109,54.24955432,6.169888579,7.2,2.67,0.8,0.9,0.62,MIN,0.667,0.2358722359,0.3051224944,83.75723831,112,35,0,
